Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time,diet_type,Unnamed: 0,Title,Ingredients,Instructions,Image_Name,Cleaned_Ingredients,image_path
dash,Sazerac,world,0.0,4.87,0.0,2022-10-16,20:29:20,dash,11257,Sazerac,"['1 cube or 1/2 teaspoon sugar', '4 dashes Peychaud Bitters', 'Splash water, about 1/2 teaspoon', '2 ounces rye whiskey', 'Splash Herbsaint (or Pernod), about 1/2 teaspoon', 'Lemon peel for garnish', 'Ice']","In old-fashioned glass, add ice and set aside. In another, combine sugar, bitters, and water. Muddle until sugar is completely dissolved. Add rye whiskey, fill with ice, and stir well, about 15 seconds. From first glass, discard ice, then add Herbsaint. Holding glass horizontally, turn it so that Herbsaint completely coats the interior. Discard any excess. Strain contents of second glass into chilled glass. Twist lemon peel directly over drink to release essential oils, and serve.",sazerac-cocktails-236771,"['1 cube or 1/2 teaspoon sugar', '4 dashes Peychaud Bitters', 'Splash water, about 1/2 teaspoon', '2 ounces rye whiskey', 'Splash Herbsaint (or Pernod), about 1/2 teaspoon', 'Lemon peel for garnish', 'Ice']",D:\fooddata\images\sazerac-cocktails-236771
dash,Sazerac,world,0.0,4.87,0.0,2022-10-16,20:29:20,dash,13099,Sazerac,"['1 cube or 1/2 teaspoon sugar', '4 dashes Peychaud Bitters', 'Splash water, about 1/2 teaspoon', '2 ounces rye whiskey', 'Splash Herbsaint (or Pernod), about 1/2 teaspoon', 'Lemon peel for garnish', 'Ice']","In old-fashioned glass, add ice and set aside. In another, combine sugar, bitters, and water. Muddle until sugar is completely dissolved. Add rye whiskey, fill with ice, and stir well, about 15 seconds. From first glass, discard ice, then add Herbsaint. Holding glass horizontally, turn it so that Herbsaint completely coats the interior. Discard any excess. Strain contents of second glass into chilled glass. Twist lemon peel directly over drink to release essential oils, and serve.",sazerac-200057,"['1 cube or 1/2 teaspoon sugar', '4 dashes Peychaud Bitters', 'Splash water, about 1/2 teaspoon', '2 ounces rye whiskey', 'Splash Herbsaint (or Pernod), about 1/2 teaspoon', 'Lemon peel for garnish', 'Ice']",D:\fooddata\images\sazerac-200057
dash,Sazerac,world,1.06,7.23,0.95,2022-10-16,20:39:23,dash,549,Sazerac,"['1 cube or 1/2 teaspoon sugar', '4 dashes Peychaud Bitters', 'Splash water, about 1/2 teaspoon', '2 ounces rye whiskey', 'Splash Herbsaint (or Pernod), about 1/2 teaspoon', 'Lemon peel for garnish', 'Ice']","In old-fashioned glass, add ice and set aside. In another, combine sugar, bitters, and water. Muddle until sugar is completely dissolved. Add rye whiskey, fill with ice, and stir well, about 15 seconds. From first glass, discard ice, then add Herbsaint. Holding glass horizontally, turn it so that Herbsaint completely coats the interior. Discard any excess. Strain contents of second glass into chilled glass. Twist lemon peel directly over drink to release essential oils, and serve.",sazerac-237263,"['1 cube or 1/2 teaspoon sugar', '4 dashes Peychaud Bitters', 'Splash water, about 1/2 teaspoon', '2 ounces rye whiskey', 'Splash Herbsaint (or Pernod), about 1/2 teaspoon', 'Lemon peel for garnish', 'Ice']",D:\fooddata\images\sazerac-237263
dash,Sazerac,world,1.06,7.23,0.95,2022-10-16,20:39:23,dash,9365,Sazerac,"['1 cube or 1/2 teaspoon sugar', '4 dashes Peychaud Bitters', 'Splash water, about 1/2 teaspoon', '2 ounces rye whiskey', 'Splash Herbsaint (or Pernod), about 1/2 teaspoon', 'Lemon peel for garnish', 'Ice']","In old-fashioned glass, add ice and set aside. In another, combine sugar, bitters, and water. Muddle until sugar is completely dissolved. Add rye whiskey, fill with ice, and stir well, about 15 seconds. From first glass, discard ice, then add Herbsaint. Holding glass horizontally, turn it so that Herbsaint completely coats the interior. Discard any excess. Strain contents of second glass into chilled glass. Twist lemon peel directly over drink to release essential oils, and serve.",absinthe-sazerac-350802,"['1 cube or 1/2 teaspoon sugar', '4 dashes Peychaud Bitters', 'Splash water, about 1/2 teaspoon', '2 ounces rye whiskey', 'Splash Herbsaint (or Pernod), about 1/2 teaspoon', 'Lemon peel for garnish', 'Ice']",D:\fooddata\images\absinthe-sazerac-350802
dash,Sazerac,world,1.06,7.23,0.95,2022-10-16,20:39:23,dash,11257,Sazerac,"['1 cube or 1/2 teaspoon sugar', '4 dashes Peychaud Bitters', 'Splash water, about 1/2 teaspoon', '2 ounces rye whiskey', 'Splash Herbsaint (or Pernod), about 1/2 teaspoon', 'Lemon peel for garnish', 'Ice']","In old-fashioned glass, add ice and set aside. In another, combine sugar, bitters, and water. Muddle until sugar is completely dissolved. Add rye whiskey, fill with ice, and stir well, about 15 seconds. From first glass, discard ice, then add Herbsaint. Holding glass horizontally, turn it so that Herbsaint completely coats the interior. Discard any excess. Strain contents of second glass into chilled glass. Twist lemon peel directly over drink to release essential oils, and serve.",sazerac-cocktails-236771,"['1 cube or 1/2 teaspoon sugar', '4 dashes Peychaud Bitters', 'Splash water, about 1/2 teaspoon', '2 ounces rye whiskey', 'Splash Herbsaint (or Pernod), about 1/2 teaspoon', 'Lemon peel for garnish', 'Ice']",D:\fooddata\images\sazerac-cocktails-236771
dash,Sazerac,world,1.06,7.23,0.95,2022-10-16,20:39:23,dash,13099,Sazerac,"['1 cube or 1/2 teaspoon sugar', '4 dashes Peychaud Bitters', 'Splash water, about 1/2 teaspoon', '2 ounces rye whiskey', 'Splash Herbsaint (or Pernod), about 1/2 teaspoon', 'Lemon peel for garnish', 'Ice']","In old-fashioned glass, add ice and set aside. In another, combine sugar, bitters, and water. Muddle until sugar is completely dissolved. Add rye whiskey, fill with ice, and stir well, about 15 seconds. From first glass, discard ice, then add Herbsaint. Holding glass horizontally, turn it so that Herbsaint completely coats the interior. Discard any excess. Strain contents of second glass into chilled glass. Twist lemon peel directly over drink to release essential oils, and serve.",sazerac-200057,"['1 cube or 1/2 teaspoon sugar', '4 dashes Peychaud Bitters', 'Splash water, about 1/2 teaspoon', '2 ounces rye whiskey', 'Splash Herbsaint (or Pernod), about 1/2 teaspoon', 'Lemon peel for garnish', 'Ice']",D:\fooddata\images\sazerac-200057
dash,Michelada,world,2.12,19.87,0.14,2022-10-16,20:29:33,dash,9407,Michelada,"['1/4 teaspoon piquin pepper', '1/4 teaspoon salsa picante', '1 tablespoon freshly squeezed lime juice', '1/2 teaspoon salt', '1 (12-ounce) can Mexican lager, chilled', 'Garnish: lime wedge']","In tall beer glass, stir together pepper sauce, salsa, lime juice, salt, and lager. Garnish with lime and serve immediately.",michelada-242665,"['1/4 teaspoon piquin pepper', '1/4 teaspoon salsa picante', '1 tablespoon freshly squeezed lime juice', '1/2 teaspoon salt', '1 (12-ounce) can Mexican lager, chilled', 'Garnish: lime wedge']",D:\fooddata\images\michelada-242665
dash,Bloody Mary,world,1.08,5.44,0.36,2022-10-16,20:29:33,dash,9067,Bloody Mary,"['1/4 cup (2 ounces) tomato juice', '3 tablespoons (1 1/2 ounces) vodka', '1 teaspoon Worcestershire sauce', '3/4 teaspoon freshly grated horseradish', '3 dashes hot pepper sauce, such as Tabasco', '1 pinch salt', '1 dash freshly ground black pepper', 'About 1 cup ice cubes', '1/4 teaspoon fresh lemon juice', '1 stalk celery', '1 lemon wedge (optional)']","In 11-ounce highball glass, stir together tomato juice, vodka, Worcestershire sauce, horseradish, hot sauce, salt, and pepper. Fill glass with ice, then pour mixture into second glass. Pour back and forth 3 to 4 times to mix well, then sprinkle lemon juice over. Garnish with celery stalk and lemon wedge (if using) and serve.",bloody-mary-351589,"['1/4 cup (2 ounces) tomato juice', '3 tablespoons (1 1/2 ounces) vodka', '1 teaspoon Worcestershire sauce', '3/4 teaspoon freshly grated horseradish', '3 dashes hot pepper sauce, such as Tabasco', '1 pinch salt', '1 dash freshly ground black pepper', 'About 1 cup ice cubes', '1/4 teaspoon fresh lemon juice', '1 stalk celery', '1 lemon wedge (optional)']",D:\fooddata\images\bloody-mary-351589
dash,Bloody Mary,world,0.92,5.55,0.3,2022-10-16,20:32:58,dash,9067,Bloody Mary,"['1/4 cup (2 ounces) tomato juice', '3 tablespoons (1 1/2 ounces) vodka', '1 teaspoon Worcestershire sauce', '3/4 teaspoon freshly grated horseradish', '3 dashes hot pepper sauce, such as Tabasco', '1 pinch salt', '1 dash freshly ground black pepper', 'About 1 cup ice cubes', '1/4 teaspoon fresh lemon juice', '1 stalk celery', '1 lemon wedge (optional)']","In 11-ounce highball glass, stir together tomato juice, vodka, Worcestershire sauce, horseradish, hot sauce, salt, and pepper. Fill glass with ice, then pour mixture into second glass. Pour back and forth 3 to 4 times to mix well, then sprinkle lemon juice over. Garnish with celery stalk and lemon wedge (if using) and serve.",bloody-mary-351589,"['1/4 cup (2 ounces) tomato juice', '3 tablespoons (1 1/2 ounces) vodka', '1 teaspoon Worcestershire sauce', '3/4 teaspoon freshly grated horseradish', '3 dashes hot pepper sauce, such as Tabasco', '1 pinch salt', '1 dash freshly ground black pepper', 'About 1 cup ice cubes', '1/4 teaspoon fresh lemon juice', '1 stalk celery', '1 lemon wedge (optional)']",D:\fooddata\images\bloody-mary-351589
dash,Bloody Mary,french,1.71,10.42,0.56,2022-10-16,20:39:43,dash,9067,Bloody Mary,"['1/4 cup (2 ounces) tomato juice', '3 tablespoons (1 1/2 ounces) vodka', '1 teaspoon Worcestershire sauce', '3/4 teaspoon freshly grated horseradish', '3 dashes hot pepper sauce, such as Tabasco', '1 pinch salt', '1 dash freshly ground black pepper', 'About 1 cup ice cubes', '1/4 teaspoon fresh lemon juice', '1 stalk celery', '1 lemon wedge (optional)']","In 11-ounce highball glass, stir together tomato juice, vodka, Worcestershire sauce, horseradish, hot sauce, salt, and pepper. Fill glass with ice, then pour mixture into second glass. Pour back and forth 3 to 4 times to mix well, then sprinkle lemon juice over. Garnish with celery stalk and lemon wedge (if using) and serve.",bloody-mary-351589,"['1/4 cup (2 ounces) tomato juice', '3 tablespoons (1 1/2 ounces) vodka', '1 teaspoon Worcestershire sauce', '3/4 teaspoon freshly grated horseradish', '3 dashes hot pepper sauce, such as Tabasco', '1 pinch salt', '1 dash freshly ground black pepper', 'About 1 cup ice cubes', '1/4 teaspoon fresh lemon juice', '1 stalk celery', '1 lemon wedge (optional)']",D:\fooddata\images\bloody-mary-351589
dash,Roast Chicken,american,399.78,44.14,355.83,2022-10-16,20:29:47,dash,6423,Roast Chicken,"['1 tablespoon kosher salt', '1 whole 4-pound chicken, giblets reserved for another use', '1/4 cup (1/2 stick) unsalted butter, melted']","Rub or pat salt onto breast, legs, and thighs of chicken. Place chicken in a large resealable plastic bag. Set open bag in a large bowl, keeping chicken breast side up. Chill for at least 8 hours and up to 2 days.
Arrange a rack in upper third of oven; preheat to 500°F. Set a wire rack in a large heavy roasting pan. Remove chicken from bag. Pat dry with paper towels (do not rinse). Place chicken, breast side up, on prepared rack. Loosely tie legs together with kitchen twine and tuck wing tips under. Brush chicken all over with some of the butter. Pour 1 cup water into pan.
Roast chicken, brushing with butter after 15 minutes, until skin is light golden brown and taut, about 30 minutes. Reduce oven temperature to 350°F. Remove chicken from oven and brush with more butter. Let rest for 15-20 minutes.
Return chicken to oven; roast, basting with butter every 10 minutes, until skin is golden brown and a thermometer inserted into the thickest part of the thigh registers 165°F, 40-45 minutes. Let rest for 20 minutes. Carve and serve with pan juices.",roast-chicken-394676,"['1 tablespoon kosher salt', '1 whole 4-pound chicken, giblets reserved for another use', '1/4 cup (1/2 stick) unsalted butter', 'melted']",D:\fooddata\images\roast-chicken-394676
